("se", 1) "leave"
("libre", 1) "free"
("basa", 1) "basa"
("artículos", 1) "articles"
("otros", 1) "others"
("edición", 1) "edition"
("de", 4) "de"
("igual", 1) "equal"
("bysa", 1) "bysa"
("puede", 1) "can"
("o", 1) "o"
("corregirlo", 1) "correct it"
("wikimedia", 1) "wikimedia"
("fundamentalmente", 1) "fundamentally"
("son", 1) "are"
("sin", 1) "without"
("idiomas", 1) "idioms"
("la", 3) "the"
("cuya", 1) "whose"
("escrita", 1) "written"
("al", 1) "al"
("wikipedia", 3) "wikipedia"
("administrados", 1) "administered"
("publicada", 1) "published"
("cuenta", 1) "account"
("contenido", 1) "content"
("cc", 1) "cc"
("español", 2) "spanish"
("con", 1) "with"
("un", 1) "un"
("organización", 1) "organization"
("voluntarios", 1) "volunteers"
("existen", 1) "exist"
("libres", 1) "frees"
("internet", 1) "internet"
("lucro", 1) "profit"
("y", 2) "water"
("una", 2) "una"
("editar", 1) "edit"
("artículo", 1) "item"
("bajo", 1) "underground"
("fundación", 1) "foundation"
("que", 3) "that"
("usuarios", 1) "users"
("las", 2) "las"
("los", 1) "the"
("financiación", 1) "financing"
("licencias", 1) "licenses"
("servidores", 1) "servers"
("ampliarlo", 1) "expand it"
("versiones", 1) "versions"
("enciclopedia", 1) "encyclopedia"
("ánimo", 1) "mood"
("por", 2) "by"
("decir", 1) "to say"
("gfdl", 1) "gfdl"
("cualquiera", 1) "any one"
("actualidad", 1) "actuality"
("donaciones", 1) "donations"
("en", 6) "en"
("es", 4) "es"
Number of unique words: 61
Number of total words: 83
Wikipedia in Spanish is the Spanish edition of Wikipedia. Like the versions of Wikipedia that exist in other languages, it is a free content encyclopedia, published on the Internet under the free CC BY-SA 3.0 and GFDL licenses. It currently has 1,617,828 articles, and is written by volunteer users, that is, anyone can edit an article, correct it, or expand it. The servers are administered by the Wikimedia Foundation, a non-profit organization whose funding relies primarily on donations.

